[Wed Nov 06 07:27:12.500971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8092] PHP Notice:  Undefined variable: survey in C:\\web\\xampp\\htdocs\\form\\view_results.php on line 29
[Wed Nov 06 07:27:12.500971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8092] PHP Notice:  Trying to get property 'questions' of non-object in C:\\web\\xampp\\htdocs\\form\\view_results.php on line 29
[Wed Nov 06 07:27:12.500971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8092] PHP Warning:  Invalid argument supplied for foreach() in C:\\web\\xampp\\htdocs\\form\\view_results.php on line 29
[Wed Nov 06 07:27:12.500971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8092] PHP Notice:  Undefined variable: survey in C:\\web\\xampp\\htdocs\\form\\view_results.php on line 38
[Wed Nov 06 07:27:12.500971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8092] PHP Notice:  Trying to get property 'questions' of non-object in C:\\web\\xampp\\htdocs\\form\\view_results.php on line 38
[Wed Nov 06 07:27:12.503971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8092] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\\web\\xampp\\htdocs\\form\\view_results.php on line 38
[Wed Nov 06 07:27:12.504971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8092] PHP Warning:  include(footer.php): failed to open stream: No such file or directory in C:\\web\\xampp\\htdocs\\form\\view_results.php on line 60
[Wed Nov 06 07:27:12.504971 2019] [php7:warn] [pid 7692:tid 1736] [client 127.0.0.1:8092] PHP Warning:  include(): Failed opening 'footer.php' for inclusion (include_path='C:\\web\\xampp\\php\\PEAR') in C:\\web\\xampp\\htdocs\\form\\view_results.php on line 60
[Wed Nov 06 07:29:53.830971 2019] [php7:warn] [pid 7692:tid 1724] [client 127.0.0.1:8105] PHP Warning:  require(): Filename cannot be empty in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 145
[Wed Nov 06 07:29:53.830971 2019] [php7:error] [pid 7692:tid 1724] [client 127.0.0.1:8105] PHP Fatal error:  require(): Failed opening required '' (include_path='C:\\web\\xampp\\htdocs\\form\\models;C:\\web\\xampp\\htdocs\\form\\controllers;C:\\web\\xampp\\php\\PEAR') in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 145
[Wed Nov 06 07:32:13.264971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Notice:  Undefined variable: survey in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 18
[Wed Nov 06 07:32:13.265971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Notice:  Trying to get property 'survey_id' of non-object in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 18
[Wed Nov 06 07:32:13.265971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Notice:  Undefined variable: survey in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 19
[Wed Nov 06 07:32:13.265971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Notice:  Trying to get property 'survey_id' of non-object in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 19
[Wed Nov 06 07:32:13.265971 2019] [php7:notice] [pid 7692:tid 1736] [client 127.0.0.1:8112] PHP Notice:  Undefined variable: survey in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 23
